Man,Response_Man_No,Response_Man,Coding_Man,Woman,Response_Woman_No,Response_Woman,Coding_Woman,Moral,Stereotypical,Vague Value,Identity,Other,Nonsense,Gender,Age,Group
7,,"Someone is not a true man, when he is not true to himself. A man who deceives himself and the others cannot be considered as man. ",moral,,,,,1,,,,,,2,20,1
,,,,5,,when it's not an actual woman? It might be a man or a little boy.,identity,,,,1,,,2,25,2
2,"The common phrase is ""he is a REAL man"" - the word true is uncommon in this particular scenario",,,,,,,,,,,1,,2,30,1
,,,,7,,When they are born a male.  I don't believe this would be a true woman.,identity,,,,1,,,2,41,2
,,,,6,,"If a man was cross-dressing as a woman, I would say they are not being a true woman.",identity,,,,1,,,2,28,2
,,,,3,"I don't really know what it means. She has an authentic vagina? I think it means she acts in a traditionally feminine way, but that isn't ""true,"" it's a construct. ",,,,,1,,,,2,41,2
7,,They were born without a penis and or had said penis removed intentionally or accidentally.,identity,,,,,,,,1,,,2,36,1
,,,,7,,When the person in question is a man and not a woman.,identity,,,,1,,,2,23,2
7,,"if they were not willing to work, or did not support themselves",dependent,,,,,,1,,,,,1,56,1
,,,,7,,"Does not exemplify what makes a woman (grace, nurturing, soft). Also not fitting what is considered a woman in a biological sense.",identity+vague value+nurturing,,1,,1,,,1,33,2
,,,,3,It sounds strange to describe someone as true when it refers to a biological component. ,,,,,,1,,,2,39,2
6,,He doesn't act in ways a typical man would act in our culture.,vague value,,,,,,,1,,,,1,65,1
,,,,4,,"I guess when a women is a major "" Tom Boy "" . She may not be considered a true woman.",identity,,,,1,,,2,29,2
,,,,7,,If she is unfaithful and not good looking. If she does not care about her appearance. If she is vulgar and mean spirited. If she does not love kids.,moral+vague +nurturing,1,1,,,,,2,36,2
6,,When they don't act masculine is the circumstances.,vague value,,,,,,,1,,,,1,35,1
,,,,6,,If someone were not actually a woman or if a person was deceitful and not of good character.,identity+moral,1,,,1,,,1,35,2
6,,"I don't know that I necessarily believe this myself but I think when that is said, a ""real"" man is somebody that is masculine that likes watching sports and hanging out with his friends as opposed to somebody that is feminine that prefers to watch theatre with his girlfriend.",vague value,,,,,,1,,,,,1,41,1
7,,"If an adult does not have a penis, they are not a true man",identity,,,,,,,,1,,,2,26,1
4,,I  don't know  how to answer   that. That is a statement that I would never say myself.,other,,,,,,,,,,,2,39,1
,,,,4,,If they are not a woman...then they are not a true woman.,identity,,,,1,,,2,38,2
7,,When they betray a girl that trusts them. They should be strong physically and mentally. ,moral + vague value,,,,,1,1,,,,,2,25,1
,,,,1,"Because all women are true women, you can't do anything more or less womanly, you just are born that way.",,,,,,,1,,1,27,2
,,,,6,," We'd all like to believe that no one lies to us and that we're, obviously, only told the truth. But the more realistic side of us knows that this is not always true. So how do you tell when someone is lying to you? Ee sometimes have a little voice in our head that starts to ring the alarms to tell us that someone is",,,,,,,1,2,25,2
7,,IF HE WAS BORN A FEMALE AND CONSIDERS HIM SELF A WOMAN,identity,,,,,,,,1,,,2,30,1
7,,"lies, doesn't take care of his family. doesn't work, acts irresponsibly ",moral+irresponsible,,,,,1,,,,,,2,36,1
7,,"When they act in a typically feminine way.  They would actually still be a true man, but are performing a feminen action or act which is commonly associated with women rather than men.",vague value,,,,,,,1,,,,2,65,1
,,,,6,,when someone is in need of help and she speaks regardless of that denotes she is not a woman.,,1,,,,,,1,33,2
6,,If they were actually a woman. Or if they were a man who evaded personal responsibility to their families and/or work. For example if a man abandons a child he has had with a partner. ,identity+irresponsible,,,,,1,,,1,,,1,35,1
5,,They don't take responsibility for their actions or they are cruel to women or children.,irresponsible+abuse,,,,,1,,,,,,2,38,1
,,,,7,,"someone who does not stand up for women's rights, causes, etc.",not supportive of feminism,1,,,,,,2,26,2
3,"We generally avoid phrases like ""there is that which"" and try to just name the thing you're talking about directly",,,,,,,,,,,,1,2,28,1
,,,,4,,If the person in question feels that they are a man.,identity,,,,1,,,1,23,2
5,,"Probably never, the context is not natural.  The language does not flow, and it would make me sound like I did not have a firm grasp of the English language or the language was a second language.",other,,,,,,,,,1,,2,59,1
1,I don't know what a true man is. Is a true man one who is genetically male? Is a true man someone who identifies with a masculine gender presentation?,,,,,,,,,,,1,,1,26,1
5,,"If the person is a woman or a child, in those situations I would say that the person is not a true man.",identity,,,,,,,,1,,,1,28,1
6,,If I saw a man who was acting cowardly and not defending or supporting his family.,cowardly+irresponsible,,,,,1,,,,,,2,32,1
,,,,7,,If they had horrible manners cussed basically acted like a man,vague value,,,1,,,,1,48,2
,,,,6,,"Wow, I don't know.  I have never thought of it this way.  I have always focused on the good things that make a woman not what wouldn't.",other,,,,,1,,1,35,2
,,,,6,,"If they lied, didn't stand up for their rights as a woman, etc.",moral+not supportive of feminism,1,,,,,,1,22,2
7,,"I love that after I spend the day with you, I can still smell your perfume on my clothes. And I love that you are the last person I want to talk to before I go to sleep at night. And it's not because I'm lonely, and it's not because it's New Year's Eve. I came here tonight because when you realize you want to spend the rest of your life ",other,,,,,,,,,,1,2,29,1
7,,Someone is not a true man if they cheat on their significant other.,moral,,,,,1,,,,,,2,21,1
3,because its to general not specific. It doesn't sound like someone has a reason to say it,,,,,,,,,,,,,2,29,1
6,,"I would say someone is not a true man if they have a vile personality (e.g., a man who thinks all women inferior to them).",moral,,,,,1,,,,,,1,32,1
,,,,5,,"If it was a male that was stated or a ""she"" not born a female.",identity,,,,1,,,1,27,2
7,,I would say someone is not a true man if they were a woman.,identity,,,,,,,,1,,,1,32,1
5,,When they are bigoted.  When they refuse accountability or responsibility.,irresponsible,,,,,1,,,,,,2,44,1
,,,,6,,If she does not behave morally as a woman is expected to behave in the society.,moral,1,,,,,,1,25,2
,,,,1,It doesn't sound like something someone would actually say.,,,,,,,,1,2,25,2
,,,,4,,for this question i would have to say i thought alot about this and my answer would be that under the circumstances are the if the women were gay she is not a true women the way it was intended to be,identity,,,,1,,,1,36,2
7,,Someone is not a true man when he doesn't take responsibility for his actions or stands up for what he feels is right. ,irresponsible+cowardly,,,,,1,,,,,,2,24,1
,,,,4,,"the time frame matters less and less, because time together is what he is going",,,,,,,1,2,30,2
,,,,4,,"A difference in brainpower.If you want to understand what happens to womenäó»s careers where you work, you might start by asking if the problem is that women simply arenäó»t capable. Itäó»s a risky question. Itäó»s one I donäó»t spend much time on. But even in higher education, there are those who do.",,,,,,,1,2,26,2
7,,Not a true man would be anyone who does not fit the stereotype of a man.  A true man to me is a lumberjack.  A not a true man would be someone who is into ballet. ,vague value,,,,,,1,,,,,1,47,1
7,,If they are a woman. If they identify as woman but are in a body with male genitalia. If they say they are a heterosexual man but act like a woman or act extremely effeminate.,identity+vague value,,,,,,1,,1,,,1,54,1
5,,If a person acts in a way that is just disappointing and acts disrespectful or in unhonorable way,disrespectful,,,,,,,,,,,1,23,1
,,,,6,,One example of someone not being a true woman to me is someone who doesn't want to be a true woman.,identity,,,,1,,,1,27,2
,,,,5,,woman is so kind heart and and GOD made woman with respect. But som Woman Is Completely doing alot of thing in opposite way like Sex Before Marriage and alot of things!,vague value,,1,,,,,2,25,2
2,"There is nothing grammatically wrong with the sentence as it is written, but it would be pronounced differently when spoken. ... It sounds good. It's how I talk. Except you've got a comma fault. Some (many) these days say that you can separate two independent clauses in a ... Even that doesn't sound right.",,,,,,,,,,,,,2,23,1
7,,"When the person is female, I would say that the person was not a true man.",identity,,,,,,,,1,,,2,38,1
6,,When they act like a stereotypical female or when they act too feminine. A true man is someone who provides for and protects their family and who isn't afraid to speak their mind. ,vague value+cowardly+irresponsible,,,,,1,1,,,,,1,40,1
,,,,7,,When she is in some cruel act on kids. Often hit kids for a small mistakes and some crazy things.,abuse,1,,,,,,2,27,2
4,,If a female had a sex change operation and started referring to herself as a man,identity,,,,,,,,,,,2,27,1
,,,,5,,If they were a transgender or possible a cross dresser.  Also if they were a criminal,identity+moral,1,,,1,,,2,40,2
5,,He cannot be said as a true when his behavior and attitude towards other persons are bad. The way of responding shows weather he is a true man or not. The above statement is about stating a man not true in mentally. In physical way one can be easily found out if the person is a true man or not.,moral,,,,,,,,,,,2,25,1
,,,,1,this sentence is a weird one .so i put sounds weird.,,,,,,,,,2,35,2
,,,,6,,when they try to act like a man or when they try to change themselves to the appearance of men. I also think if a female doesn't act like a female then she is not a true women.,identity+vague value,,,1,1,,,1,27,2
7,,when hes a woman or when he is abusive or when he is rude and not helpful,abuse+disrespectful,,,,,1,,,,,,2,31,1
4,,If they do not take responsibility for their actions.,irresponsible,,,,,1,,,,,,2,35,1
6,,"If they act too feminine or not what many consider manly, like sensitive.",vague value,,,,,,1,,,,,1,45,1
,,,,5,,If they themselves did not feel as though they were a woman.  Mostly in a case with a transgender.  If they don't feel like a women they are not a true woman.  They want to be a man and likely are taking the steps to transform into a man.,identity,,,,1,,,1,28,2
7,,"When they start acting feminine, and allowing a woman to lead them.",vague value,,,,,,1,,,,,2,29,1
7,,They are a woman in a play or movie pretending to be a man.,identity,,,,,,,,,,,2,34,1
,,,,7,,"I believe someone who is not a true woman does not possess much grace, charm, or wisdom.  I think a woman who is not true is also not a very honest or helpful person.",vague value+moral,1,,,,,,1,34,2
7,,when they are whimpy and not strong and dominate. someone who is weak and shrill. ,vague value+cowardly,,,,,,1,,,,,1,35,1
,,,,7,,I would say that someone is not a true woman if they are a male and not a female.,identity,,,,1,,,2,22,2
4,,If the person is a women or if I'm trying to make fun of a friend of mins,identity,,,,,,,,1,,,2,27,1
,,,,7,,"Depending on their actions and how they carry themselves. If they were rude, aggressive, or acted masculine I would say they are not a true women ",moral,1,,1,,,,2,27,2
,,,,3,"Saying ""She is a true woman"" is redundant. The other adjectives were all things one becomes with study or training. Being a woman is just a description.",,,,,,,,,2,49,2
,,,,4,,"I guess if maybe the person is really a man who is simply dressed as a woman, so technically she's not a true woman?",identity,,,,1,,,1,37,2
,,,,6,,If the person in question personally doesn't consider themselves as a woman.,identity,,,,1,,,1,27,2
,,,,6,,Whenever she does something unwomanly like or somethings you wouldn't expect a woman to do. ,vague value,,,1,,,,2,35,2
,,,,6,,Maybe if a person was especially dominant or aggressive. ,vague value,,1,,,,,1,40,2
,,,,5,,If someone is not a woman. If a person does not have all of the same body parts as a woman then she is not a woman. ,identity,,,,1,,,1,28,2
,,,,5,,"It could be said if someone was acting in a manner that was not stereo-typically feminine.  I suppose some might also say the same thing about a trans woman, even if they did not intend for it to be insulting.",identity+vague value,,,1,1,,,2,34,2
7,,"Low morale values, not a gentleman, hurts women, does not obey the laws, afraid, does not support children",moral+abuse,,,,,1,,,,,,2,36,1
,,,,3,It seemed like there was doubt about the person in question being an actual female.,,,,,,,,,2,29,2
,,,,7,,"If they do not behave in feminine, motherly ways....caring for other people.",vague value+nurturing,1,1,,,,,1,70,2
7,,by his nature and habits on how he does things and also the way he treats his wife and familly.,moral+abuse,,,,,1,,,,,,2,30,1
5,,If they were not actually a man by gender or if certain illegal actions caused them to not be a true man. ,identity+moral,,,,,1,,,1,,,2,27,1
1,'True man' just doesn't make sense to me. I think it should rather be 'real man'.,,,,,,,,,,,1,,1,29,1
,,,,4,,Under no circumstances would I personally say a person who identifies as a woman is not a true woman. Its an odd statement to make whether or not it technically is natural sounding in American English. There's no definition of woman or rules of womanhood to defy that makes someone less than true.,other,,,,,,,1,35,2
6,,doesn't have respect and honor. doesn't behave like a man that does,disrespectful+vague value,,,,,1,,,,,,2,28,1
6,,when they don't act like a stereotypical male or have stereotypical male interests,vague value,,,,,,,1,,,,1,31,1
7,,When a male acts cowardly and does not take responsibility for themselves or their actions.  Could also appy when a male is not born of the male gender.,cowardly+irresponsible+identity,,,,,1,,,1,,,2,34,1
,,,,4,,means they are FAKE. It means they will not likely succeed in life. It means that they are not viable to go forth and become a friendly person or will most likley become a lesbian becaiuse a true woman is a woman who knows her values,identity+vague value,,,,1,1,,2,25,2
,,,,6,,When they slander other women for not being like their ideal or how they think women should be.,not supportive of feminism,,,,,1,,2,29,2
,,,,5,,If it is a male pretending to be a woman or if it's a woman who behaves in a masculine way.,identity+vague value,,,1,1,,,1,50,2
,,,,7,,If a woman is not acting like a woman; if she is too manly.,vague value,,,1,,,,2,28,2
6,,When they start acting like a female emotionally and don't listen to logic,vague value,,,,,,1,,,,,2,37,1
6,,If he doesn't respect his family and don't care for the society is not a true man.And the man who have more than one relationship also not considered as a true man.,moral+irresponsible,,,,,,1,,,,,1,27,1
